epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,264.434,0.96273,0.50282,0.81536,0.92644,0.72841,0.78674,0.53141,0.85032,0.46524,0.81266,0.000742625,0.000742625,0.000742625
43,270.686,0.95051,0.49715,0.81076,0.85251,0.71763,0.79077,0.51651,0.89303,0.47562,0.81756,0.00073025,0.00073025,0.00073025
44,276.968,0.9546,0.51937,0.8107,0.87028,0.74593,0.80631,0.53912,0.85928,0.47108,0.81586,0.000717875,0.000717875,0.000717875
45,283.257,0.94055,0.49337,0.80759,0.87169,0.74957,0.80379,0.52484,0.86898,0.46513,0.8136,0.0007055,0.0007055,0.0007055
46,289.483,0.91526,0.4805,0.80673,0.88676,0.71063,0.78496,0.5324,0.81858,0.45363,0.81041,0.000693125,0.000693125,0.000693125
47,295.717,0.93659,0.48923,0.8084,0.81282,0.7158,0.77439,0.53834,0.82957,0.46895,0.81056,0.00068075,0.00068075,0.00068075
48,301.906,0.92156,0.48302,0.80717,0.85591,0.67821,0.75778,0.51652,0.83862,0.47038,0.81105,0.000668375,0.000668375,0.000668375
49,308.044,0.90127,0.47073,0.80741,0.85687,0.75193,0.78867,0.55024,0.81662,0.44561,0.81149,0.000656,0.000656,0.000656
50,314.43,0.9288,0.4778,0.80939,0.85007,0.73339,0.78209,0.5459,0.84236,0.44979,0.81341,0.000643625,0.000643625,0.000643625
51,320.697,0.9104,0.46524,0.80159,0.82777,0.74178,0.79227,0.53251,0.8354,0.45163,0.81341,0.00063125,0.00063125,0.00063125
52,326.943,0.97663,0.48882,0.80716,0.9015,0.7416,0.80212,0.53382,0.89674,0.46009,0.8131,0.000618875,0.000618875,0.000618875
53,333.176,0.94142,0.47324,0.80516,0.88791,0.69673,0.77904,0.51217,0.89324,0.47392,0.8151,0.0006065,0.0006065,0.0006065
54,339.393,0.92174,0.47761,0.80518,0.89723,0.71336,0.789,0.53581,0.84911,0.46313,0.81463,0.000594125,0.000594125,0.000594125
55,345.641,0.90641,0.47038,0.81028,0.89199,0.74373,0.80175,0.55833,0.81593,0.43856,0.81145,0.00058175,0.00058175,0.00058175
56,352.071,0.89489,0.46782,0.80354,0.91991,0.69338,0.796,0.53628,0.81935,0.45118,0.8118,0.000569375,0.000569375,0.000569375
